Soyhieres,3
St-gingolph,3
Suchy,3
Surpierre,3
Suscevaz,3
Syens,3
Tavannes,3
Thonex,3
Tolochenaz,3
Torny,3
Tramelan,3
Trey,3
Treycovagnes,3
Treyvaux,3
Trient,3
Troinex,3
Troistorrents,3
Undervelier,3
Ursy,3
Val-d'illiez,3
Valangin,3
Valeyres-montagny,3
Valeyres-sous-rances,3
Vallorbe,3
Vandoeuvres,3
Vauffelin,3
Vaulion,3
Vaulruz,3
Vaumarcus,3
Vaux-sur-morges,3
Vendlincourt,3
Venthone,3
Vernayaz,3
Vernier,3
Vérossaz,3
Versoix,3
Vetroz,3
Vevey,3
Vex,3
Veyras,3
Veyrier,3
Veysonnaz,3
Vich,3
Vicques,3
Villars-le-comte,3
Villars-le-terroir,3
Villars-sous-yens,3
Villars-ste croix,3
Villars-sur-glane,3
Villarsiviriaux,3
Villarzel,3
Villaz-saint-pierre,3
Villeneuve /vd,3
Villeret,3
Vinzel,3
Vionnaz,3
Vollèges,3
Vouvry,3
Vuarrens,3
Vufflens-la-ville,3
Vufflens-le château,3
Vugelles-la-mothe,3
Vuisternens devant romont,3
Vuiteboeuf,3
Vulliens,3
Vullierens,3
Yens,3
Yverdon-les-bains,3
Yvonand,3
Aathal-seegräben,3
Abtwil,3
Adelboden,3
Adligenswil,3
Adlikon b. andelfingen,3
Adliswil,3
Aedermannsdorf,3
Aefligen,3
Aegerten,3
Aesch bl,3
Aesch,3
Aesch zh,3
Aeschi so,3
Aeschi b. spiez,3
Aeugst am albis,3
Affeltrangen,3
Affoltern i.e.,3
Affoltern am albis,3
Agarn,3
Alberswil,3
Albinen,3
Alchenflüh be,3
Koppigen,3
Allmendingen,3
Alpnach dorf,3
Alpthal,3
Alt st. johann,3
Altbüron,3
Altdorf,3
Altendorf,3
Alterswil,3
Altikon,3
Altishofen,3
Altnau,3
Altstätten,3
Amden,3
Ammerswil,3
Amriswil,3
Amsoldingen,3
Andeer,3
Andelfingen,3
Andermatt,3
Andwil /sg,3
Anwil,3
Appenzell,3
Arboldswil,3
Arbon,3
Arch,3
Arisdorf,3
Aristau,3
Arlesheim,3
Arni be,3
Arni,3
Arosa,3
Arth,3
Reitnau,3
Attinghausen,3
Attiswil,3
Au,3
Auenstein,3
Augst,3
Ausserberg,3
Ausserferrera,3
Auswil,3
Auw,3
Baar,3
Bachenbülach,3
Bachs,3
Bad ragaz,3
Baden,3
Baeretswil,3
Bäriswil,3
Baerschwil,3
Baetterkinden,3
Baettwil,3
Balgach,3
Ballwil,3
Balsthal,3
Baltschieder,3
Balzers,3
Bannwil,3
Bargen,3
Basadigen,3
Basel,3
Bassersdorf,3
Bauen,3
Bauma,3
Beatenberg,3
Beckenried,3
Beggingen,3
Beinwil /ag,3
Beinwil am see,3
Bellach,3
Bellikon,3
Bellmund,3
Bellwald,3
Belp,3
Benken,3
Bennwil,3
Benzenschwil,3
Berg sg,3
Berg am irchel,3
Bergdietikon,3
Berikon,3
Beringen,3
Berlingen,3
Berneck,3
Besenbüren,3
Bettmeralp,3
Bettenhausen,3
Bettingen,3
Bettlach,3
Bettwiesen,3
Bettwil,3
Bever,3
Biberist,3
Biberstein,3
Biel/bienne,3
Biel-benken,3
Biezwil,3
Biglen,3
Niederurnen,3
Binn,3
Binningen,3
Birmensdorf,3
Birrhard,3
Birrwil,3
Birsfelden,3
Bischofszell,3
Amlikon-bissegg,3
Bitsch,3
Blauen,3
Bleienbach,3
Blumenstein,3
Böckten,3
Bönigen,3
Bösingen,3
Kleindöttingen,3
Bözen,3
Bolligen,3
Boltigen,3
Bonaduz,3
Bonningen,3
Boniswil,3
Bonstetten,3
Boppelsen,3
Boswil,3
Bottenwil,3
Bottighofen,3
Bottmingen bl,3
Bowil,3
Braunau,3
Breil/brigels,3
Breitenbach,3
Bremgarten,3
Brenzikofen,3
Bretzwil,3
Brienz,3
Brienzwiler,3
Brislach,3
Brittnau,3
Bronschhofen,3
Brügg,3
Brünisried,3
Brüttelen,3
Brütten,3
Brüttisellen,3
Brugg,3
Brunegg/ag,3
Brunnen,3
Brunnenthal,3
Bubendorf,3
Bubikon,3
Buch,3
Buch am irchel,3
Buchberg,3
Buchrain,3
Buchs,3
Buchs zh,3
Buckten,3
Büetigen,3
Bühler ar,3
Bülach,3
Bünzen,3
Bürchen,3
Büren,3
Büren an der aare,3
Bueren zum hof,3
Bürglen,3
Buerglen /ur,3
Büsserach,3
